date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2006-01-01,2006-01,2006,2006Q1,National - all residential properties,National,All residential,0.5,13.2,2.4,141.4
2006-01-01,2006-01,2006,2006Q1,National - apartments,National,Apartments,0.8,9.3,4.0,167.8
2006-01-01,2006-01,2006,2006Q1,National - houses,National,Houses,0.6,13.7,2.4,137.3
2006-01-01,2006-01,2006,2006Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.5,11.9,2.4,159.0
2006-01-01,2006-01,2006,2006Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.5,8.0,5.5,216.3
2006-01-01,2006-01,2006,2006Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.5,12.2,2.3,156.0
2006-02-01,2006-02,2006,2006Q1,Dublin - all residential properties,Dublin,All residential,0.8,14.0,1.9,137.9
2006-02-01,2006-02,2006,2006Q1,Dublin - apartments,Dublin,Apartments,0.5,8.0,1.8,160.7
2006-02-01,2006-02,2006,2006Q1,Dublin - houses,Dublin,Houses,1.0,16.1,2.2,132.3
2006-02-01,2006-02,2006,2006Q1,National - all residential properties,National,All residential,0.3,12.5,1.7,141.7
2006-02-01,2006-02,2006,2006Q1,National - apartments,National,Apartments,0.7,9.9,3.4,169.0
2006-02-01,2006-02,2006,2006Q1,National - houses,National,Houses,0.3,13.0,1.8,137.7
2006-02-01,2006-02,2006,2006Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-0.1,11.7,1.7,158.9
2006-02-01,2006-02,2006,2006Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,-0.1,14.6,4.0,216.2
2006-02-01,2006-02,2006,2006Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.0,11.6,1.6,155.9
2006-03-01,2006-03,2006,2006Q1,Dublin - all residential properties,Dublin,All residential,0.6,13.8,1.9,138.7
2006-03-01,2006-03,2006,2006Q1,Dublin - apartments,Dublin,Apartments,0.5,7.6,0.8,161.4
2006-03-01,2006-03,2006,2006Q1,Dublin - houses,Dublin,Houses,0.6,15.8,2.5,133.1
2006-03-01,2006-03,2006,2006Q1,National - all residential properties,National,All residential,0.5,12.5,1.3,142.5
2006-03-01,2006-03,2006,2006Q1,National - apartments,National,Apartments,0.6,10.7,2.2,170.1
2006-03-01,2006-03,2006,2006Q1,National - houses,National,Houses,0.6,12.9,1.5,138.5
2006-03-01,2006-03,2006,2006Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.5,11.8,0.9,159.7
2006-03-01,2006-03,2006,2006Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,-0.1,17.2,1.4,216.0
2006-03-01,2006-03,2006,2006Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.6,11.6,1.0,156.8
2006-04-01,2006-04,2006,2006Q2,Dublin - all residential properties,Dublin,All residential,1.8,15.1,3.3,141.3
2006-04-01,2006-04,2006,2006Q2,Dublin - apartments,Dublin,Apartments,2.1,9.8,3.1,164.8
2006-04-01,2006-04,2006,2006Q2,Dublin - houses,Dublin,Houses,1.6,16.4,3.3,135.2
2006-04-01,2006-04,2006,2006Q2,National - all residential properties,National,All residential,1.5,13.4,2.3,144.6
2006-04-01,2006-04,2006,2006Q2,National - apartments,National,Apartments,1.5,12.5,2.9,172.7
2006-04-01,2006-04,2006,2006Q2,National - houses,National,Houses,1.4,13.6,2.3,140.5
2006-04-01,2006-04,2006,2006Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.3,12.5,1.7,161.8
2006-04-01,2006-04,2006,2006Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.6,18.9,0.5,217.3
2006-04-01,2006-04,2006,2006Q2,National excluding Dublin - houses,National excluding Dublin,Houses,1.3,12.3,1.9,158.9
2006-05-01,2006-05,2006,2006Q2,Dublin - all residential properties,Dublin,All residential,2.6,17.2,5.1,145.0
2006-05-01,2006-05,2006,2006Q2,Dublin - apartments,Dublin,Apartments,1.6,11.6,4.2,167.5
2006-05-01,2006-05,2006,2006Q2,Dublin - houses,Dublin,Houses,2.9,18.5,5.2,139.1
2006-05-01,2006-05,2006,2006Q2,National - all residential properties,National,All residential,2.1,15.0,4.1,147.6
2006-05-01,2006-05,2006,2006Q2,National - apartments,National,Apartments,1.3,13.8,3.5,175.0
2006-05-01,2006-05,2006,2006Q2,National - houses,National,Houses,2.1,15.1,4.2,143.4
2006-05-01,2006-05,2006,2006Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.7,13.7,3.6,164.6
2006-05-01,2006-05,2006,2006Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.9,19.2,1.4,219.3
2006-05-01,2006-05,2006,2006Q2,National excluding Dublin - houses,National excluding Dublin,Houses,1.8,13.5,3.7,161.7
2006-06-01,2006-06,2006,2006Q2,Dublin - all residential properties,Dublin,All residential,2.5,20.1,7.2,148.7
2006-06-01,2006-06,2006,2006Q2,Dublin - apartments,Dublin,Apartments,1.4,13.7,5.2,169.8
2006-06-01,2006-06,2006,2006Q2,Dublin - houses,Dublin,Houses,2.9,21.6,7.5,143.1
2006-06-01,2006-06,2006,2006Q2,National - all residential properties,National,All residential,1.8,16.0,5.5,150.3
2006-06-01,2006-06,2006,2006Q2,National - apartments,National,Apartments,1.1,15.4,4.0,176.9
2006-06-01,2006-06,2006,2006Q2,National - houses,National,Houses,1.9,16.0,5.6,146.2
2006-06-01,2006-06,2006,2006Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.4,13.7,4.5,166.9
2006-06-01,2006-06,2006,2006Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.4,20.0,1.9,220.2
2006-06-01,2006-06,2006,2006Q2,National excluding Dublin - houses,National excluding Dublin,Houses,1.5,13.5,4.6,164.0
2006-07-01,2006-07,2006,2006Q3,Dublin - all residential properties,Dublin,All residential,3.2,22.5,8.6,153.4
2006-07-01,2006-07,2006,2006Q3,Dublin - apartments,Dublin,Apartments,1.3,15.6,4.4,172.0
2006-07-01,2006-07,2006,2006Q3,Dublin - houses,Dublin,Houses,3.8,24.1,9.9,148.6
2006-07-01,2006-07,2006,2006Q3,National - all residential properties,National,All residential,2.3,16.8,6.3,153.7
2006-07-01,2006-07,2006,2006Q3,National - apartments,National,Apartments,1.2,16.6,3.7,179.1
2006-07-01,2006-07,2006,2006Q3,National - houses,National,Houses,2.4,16.8,6.6,149.7
2006-07-01,2006-07,2006,2006Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.7,13.7,4.9,169.7
2006-07-01,2006-07,2006,2006Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.3,19.2,2.7,223.2
2006-07-01,2006-07,2006,2006Q3,National excluding Dublin - houses,National excluding Dublin,Houses,1.7,13.4,5.0,166.8
2006-08-01,2006-08,2006,2006Q3,Dublin - all residential properties,Dublin,All residential,2.9,23.6,8.9,157.9
2006-08-01,2006-08,2006,2006Q3,Dublin - apartments,Dublin,Apartments,2.7,17.3,5.5,176.7
2006-08-01,2006-08,2006,2006Q3,Dublin - houses,Dublin,Houses,2.9,25.4,9.9,152.9
2006-08-01,2006-08,2006,2006Q3,National - all residential properties,National,All residential,2.2,17.4,6.4,157.1
2006-08-01,2006-08,2006,2006Q3,National - apartments,National,Apartments,1.9,17.2,4.3,182.5
2006-08-01,2006-08,2006,2006Q3,National - houses,National,Houses,2.2,17.5,6.7,153.0
2006-08-01,2006-08,2006,2006Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.8,13.9,5.0,172.8
2006-08-01,2006-08,2006,2006Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.1,16.5,2.9,225.7
2006-08-01,2006-08,2006,2006Q3,National excluding Dublin - houses,National excluding Dublin,Houses,1.8,13.9,5.1,169.9
2006-09-01,2006-09,2006,2006Q3,Dublin - all residential properties,Dublin,All residential,0.2,21.7,6.4,158.2
2006-09-01,2006-09,2006,2006Q3,Dublin - apartments,Dublin,Apartments,1.7,16.8,5.8,179.7
2006-09-01,2006-09,2006,2006Q3,Dublin - houses,Dublin,Houses,-0.2,23.3,6.6,152.6
2006-09-01,2006-09,2006,2006Q3,National - all residential properties,National,All residential,0.8,17.2,5.4,158.4
2006-09-01,2006-09,2006,2006Q3,National - apartments,National,Apartments,1.6,17.2,4.9,185.5
2006-09-01,2006-09,2006,2006Q3,National - houses,National,Houses,0.7,17.3,5.4,154.1
2006-09-01,2006-09,2006,2006Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.2,14.6,4.8,174.9
2006-09-01,2006-09,2006,2006Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.8,16.5,4.3,229.7
2006-09-01,2006-09,2006,2006Q3,National excluding Dublin - houses,National excluding Dublin,Houses,1.2,14.5,4.8,171.9
2006-10-01,2006-10,2006,2006Q4,Dublin - all residential properties,Dublin,All residential,0.6,19.1,3.8,159.3
2006-10-01,2006-10,2006,2006Q4,Dublin - apartments,Dublin,Apartments,-0.1,15.0,4.4,179.6
