quarter,qend,year,rppi_national_index,rppi_national_yoy,rppi_dublin_index,rppi_dublin_yoy,rppi_rest_index,rppi_rest_yoy,cpi_2015_100,rppi_national_real_index,completions_q_total,completions_q_single,completions_q_scheme,completions_q_apartment,completions_12m_total,completions_12m_prev,completions_12m_yoy,tx_volume,tx_value_eur_m,tx_mean_price,tx_median_price,mean_price_new,median_price_new,mean_price_existing,median_price_existing
2016Q1,2016-03-31 23:59:59.999999,2016,103.7,7.5,102.66666666666667,4.766666666666667,104.7,10.5,99.25538337693702,104.4779602595296,1936.0,686.0,926.0,324.0,7784.0,5795.0,34.32269197584124,46658.0,11.4849,246151.0,190000.0,296298.0,261050.0,237102.0,180000.0
2016Q2,2016-06-30 23:59:59.999999,2016,104.8,6.3,103.06666666666666,4.333333333333333,106.63333333333333,8.333333333333334,100.46286979271484,104.31714743589741,2370.0,872.0,1249.0,249.0,8584.0,6047.0,41.954688275177766,46658.0,11.4849,246151.0,190000.0,296298.0,261050.0,237102.0,180000.0
2016Q3,2016-09-30 23:59:59.999999,2016,109.33333333333333,7.466666666666666,106.0,4.866666666666667,112.76666666666667,10.1,100.58361843429263,108.69894624516472,2451.0,970.0,1217.0,264.0,9002.0,6676.0,34.84122228879569,46658.0,11.4849,246151.0,190000.0,296298.0,261050.0,237102.0,180000.0
2016Q4,2016-12-31 23:59:59.999999,2016,112.03333333333335,8.533333333333333,108.46666666666665,6.2,115.76666666666667,10.9,99.77862749044073,112.28189458114832,2969.0,1062.0,1638.0,269.0,9726.0,7219.0,34.72780163457543,46658.0,11.4849,246151.0,190000.0,296298.0,261050.0,237102.0,180000.0
2017Q1,2017-03-31 23:59:59.999999,2017,113.36666666666667,9.366666666666667,109.43333333333334,6.6000000000000005,117.43333333333334,12.066666666666668,99.81887703763334,113.57237231182795,2741.0,866.0,1409.0,466.0,10531.0,7784.0,35.29033915724564,51200.0,13.7561,268674.0,220000.0,323803.0,297000.0,256274.0,200000.0
2017Q2,2017-06-30 23:59:59.999999,2017,115.86666666666667,10.566666666666668,111.76666666666667,8.4,120.13333333333333,12.700000000000001,100.7043670758704,115.05624833466561,3234.0,1024.0,1766.0,444.0,11395.0,8584.0,32.74697110904008,51200.0,13.7561,268674.0,220000.0,323803.0,297000.0,256274.0,200000.0
2017Q3,2017-09-30 23:59:59.999999,2017,122.16666666666667,11.733333333333334,118.26666666666667,11.566666666666668,126.2,11.866666666666667,100.7848661702556,121.2152888711395,3717.0,1109.0,1997.0,611.0,12661.0,9002.0,40.64652299489002,51200.0,13.7561,268674.0,220000.0,323803.0,297000.0,256274.0,200000.0
2017Q4,2017-12-31 23:59:59.999999,2017,125.16666666666667,11.666666666666666,120.66666666666667,11.233333333333334,129.76666666666668,12.1,100.22137250955927,124.89019410977242,4531.0,1216.0,2684.0,631.0,14223.0,9726.0,46.23689080814313,51200.0,13.7561,268674.0,220000.0,323803.0,297000.0,256274.0,200000.0
2018Q1,2018-03-31 23:59:59.999999,2018,127.36666666666667,12.333333333333334,122.5,11.966666666666667,132.36666666666667,12.733333333333334,100.06037432078888,127.28981630463933,3431.0,959.0,2005.0,467.0,14913.0,10531.0,41.61048333491597,54018.0,15.4935,286821.0,240000.0,352432.0,321414.0,269385.0,215000.0
2018Q2,2018-06-30 23:59:59.999999,2018,130.46666666666667,12.6,123.96666666666665,11.0,137.33333333333334,14.299999999999999,100.86536526464079,129.3473397180101,4352.0,1142.0,2750.0,460.0,16031.0,11395.0,40.68451075032908,54018.0,15.4935,286821.0,240000.0,352432.0,321414.0,269385.0,215000.0
2018Q3,2018-09-30 23:59:59.999999,2018,133.29999999999998,9.1,126.3,6.8,140.76666666666668,11.566666666666668,101.54960756691487,131.2658937772493,4595.0,1199.0,2827.0,569.0,16909.0,12661.0,33.55185214438039,54018.0,15.4935,286821.0,240000.0,352432.0,321414.0,269385.0,215000.0
2018Q4,2018-12-31 23:59:59.999999,2018,134.23333333333332,7.233333333333333,126.76666666666667,5.033333333333333,142.20000000000002,9.6,100.94586435902598,132.97556485911747,5404.0,1338.0,3362.0,704.0,17782.0,14223.0,25.022850312873523,54018.0,15.4935,286821.0,240000.0,352432.0,321414.0,269385.0,215000.0
2019Q1,2019-03-31 23:59:59.999999,2019,133.0,4.433333333333334,124.56666666666666,1.6666666666666667,142.03333333333333,7.333333333333333,100.90561481183336,131.80634224172317,4221.0,1090.0,2563.0,568.0,18572.0,14913.0,24.535640045597805,58291.0,17.011599999999998,291840.0,253500.0,353703.0,339998.0,273893.0,227000.0
2019Q2,2019-06-30 23:59:59.999999,2019,133.70000000000002,2.5,124.2,0.16666666666666666,144.03333333333333,4.8999999999999995,102.032602133226,131.0365483234714,4792.0,1322.0,2831.0,639.0,19012.0,16031.0,18.595221757844183,58291.0,17.011599999999998,291840.0,253500.0,353703.0,339998.0,273893.0,227000.0
2019Q3,2019-09-30 23:59:59.999999,2019,135.63333333333333,1.7333333333333334,125.66666666666667,-0.5,146.46666666666667,4.033333333333333,102.27409941638159,132.61747999475267,5604.0,1254.0,3311.0,1039.0,20021.0,16909.0,18.40440002365604,58291.0,17.011599999999998,291840.0,253500.0,353703.0,339998.0,273893.0,227000.0
2019Q4,2019-12-31 23:59:59.999999,2019,135.29999999999998,0.7999999999999999,125.03333333333335,-1.3666666666666665,146.5666666666667,3.0666666666666664,101.99235258603342,132.65700473559588,6406.0,1412.0,3822.0,1172.0,21023.0,17782.0,18.226296254639518,58291.0,17.011599999999998,291840.0,253500.0,353703.0,339998.0,273893.0,227000.0
2020Q1,2020-03-31 23:59:59.999999,2020,134.29999999999998,0.9666666666666667,124.60000000000001,0.0,144.93333333333334,2.0333333333333337,101.9521030388408,131.72852348993288,4928.0,1105.0,2838.0,985.0,21730.0,18572.0,17.00409218177903,48858.0,14.6479,299805.0,260000.0,365640.0,339000.0,278675.0,230000.0
2020Q2,2020-06-30 23:59:59.999999,2020,134.16666666666666,0.3333333333333333,123.93333333333334,-0.19999999999999998,145.33333333333334,0.9,101.75085530287784,131.85802347046413,3222.0,871.0,1835.0,516.0,20160.0,19012.0,6.038291605301915,48858.0,14.6479,299805.0,260000.0,365640.0,339000.0,278675.0,230000.0
2020Q3,2020-09-30 23:59:59.999999,2020,134.5666666666667,-0.7999999999999999,123.60000000000001,-1.6666666666666667,146.53333333333333,0.06666666666666667,101.3483598309519,132.77636351601802,5026.0,1454.0,2869.0,703.0,19582.0,20021.0,-2.192697667449184,48858.0,14.6479,299805.0,260000.0,365640.0,339000.0,278675.0,230000.0
2020Q4,2020-12-31 23:59:59.999999,2020,136.26666666666665,0.7000000000000001,124.83333333333333,-0.1333333333333333,148.79999999999998,1.5333333333333332,100.82511571744818,135.1515103127079,7307.0,1518.0,4127.0,1662.0,20483.0,21023.0,-2.568615326071444,48858.0,14.6479,299805.0,260000.0,365640.0,339000.0,278675.0,230000.0
2021Q1,2021-03-31 23:59:59.999999,2021,138.36666666666667,3.0,126.56666666666666,1.5333333333333332,151.23333333333332,4.366666666666667,101.71060575568525,136.03956602031394,3956.0,977.0,2259.0,720.0,19511.0,21730.0,-10.21168890934192,58057.0,18.671,321598.0,275000.0,371628.0,331094.0,307862.0,250000.0
2021Q2,2021-06-30 23:59:59.999999,2021,141.63333333333333,5.566666666666666,130.1,4.933333333333334,154.4,6.233333333333333,103.19983900181124,137.24181617264688,4957.0,1155.0,2530.0,1272.0,21246.0,20160.0,5.386904761904754,58057.0,18.671,321598.0,275000.0,371628.0,331094.0,307862.0,250000.0
2021Q3,2021-09-30 23:59:59.999999,2021,148.79999999999998,10.6,135.96666666666667,10.033333333333333,162.83333333333334,11.133333333333333,104.32682632320387,142.62870370370365,4622.0,1193.0,2476.0,953.0,20842.0,19582.0,6.434480645490748,58057.0,18.671,321598.0,275000.0,371628.0,331094.0,307862.0,250000.0
2021Q4,2021-12-31 23:59:59.999999,2021,155.1,13.833333333333334,140.5,12.566666666666668,170.86666666666667,14.833333333333334,106.13805594687062,146.1304323094425,6908.0,1377.0,3406.0,2125.0,20443.0,20483.0,-0.19528389396084034,58057.0,18.671,321598.0,275000.0,371628.0,331094.0,307862.0,250000.0
2022Q1,2022-03-31 23:59:59.999999,2022,159.03333333333333,15.0,142.96666666666667,13.0,176.29999999999998,16.566666666666666,107.58703964580398,147.8183002868188,5593.0,1105.0,2799.0,1689.0,22080.0,19511.0,13.166931474552811,63148.0,22.3853,354489.0,305263.0,399174.0,379999.0,339572.0,275000.0
2022Q2,2022-06-30 23:59:59.999999,2022,161.86666666666667,14.299999999999999,145.13333333333333,11.533333333333333,179.86666666666667,16.5,111.45099617629302,145.23572890333455,7578.0,1327.0,3934.0,2317.0,24701.0,21246.0,16.261884590040477,63148.0,22.3853,354489.0,305263.0,399174.0,379999.0,339572.0,275000.0
2022Q3,2022-09-30 23:59:59.999999,2022,166.46666666666667,11.866666666666667,149.43333333333334,9.9,184.76666666666665,13.466666666666667,113.38297444153754,146.81804520175126,7362.0,1511.0,3575.0,2276.0,27441.0,20842.0,31.66202859610403,63148.0,22.3853,354489.0,305263.0,399174.0,379999.0,339572.0,275000.0
2022Q4,2022-12-31 23:59:59.999999,2022,168.43333333333334,8.6,150.36666666666667,7.0,187.66666666666666,9.833333333333334,115.47595089555243,145.86009643313582,9076.0,1515.0,4822.0,2739.0,29609.0,20443.0,44.83686347404981,63148.0,22.3853,354489.0,305263.0,399174.0,379999.0,339572.0,275000.0
2023Q1,2023-03-31 23:59:59.999999,2023,167.16666666666666,5.1000000000000005,147.4,3.1,188.0666666666667,6.666666666666667,116.16019319782653,143.91045853545853,6624.0,1172.0,3080.0,2372.0,30640.0,22080.0,38.76811594202898,62926.0,23.3307,370763.0,330000.0,421995.0,392781.0,352742.0,290000.0
2023Q2,2023-06-30 23:59:59.999999,2023,166.29999999999998,2.733333333333333,145.1,-0.033333333333333326,188.63333333333333,4.866666666666666,118.85691285973034,139.91613613274635,7252.0,1398.0,4018.0,1836.0,30314.0,24701.0,22.72377636532934,62926.0,23.3307,370763.0,330000.0,421995.0,392781.0,352742.0,290000.0
2023Q3,2023-09-30 23:59:59.999999,2023,168.76666666666665,1.4000000000000001,147.03333333333333,-1.5999999999999999,191.66666666666666,3.733333333333333,120.42664520024151,140.14063614081994,8387.0,1416.0,3642.0,3329.0,31339.0,27441.0,14.205021682883267,62926.0,23.3307,370763.0,330000.0,421995.0,392781.0,352742.0,290000.0
2023Q4,2023-12-31 23:59:59.999999,2023,173.70000000000002,3.133333333333333,151.79999999999998,0.9666666666666667,196.70000000000002,4.833333333333333,120.66814248339706,143.94851567711808,10200.0,1465.0,4750.0,3985.0,32463.0,29609.0,9.638961126684453,62926.0,23.3307,370763.0,330000.0,421995.0,392781.0,352742.0,290000.0
2024Q1,2024-03-31 23:59:59.999999,2024,177.73333333333335,6.333333333333333,155.96666666666667,5.833333333333333,200.6,6.666666666666667,120.18514791708594,147.88294262112078,5791.0,1161.0,3071.0,1559.0,31630.0,30640.0,3.2310704960835546,61295.0,24.6594,402306.0,354120.0,455320.0,415000.0,381618.0,319000.0
2024Q2,2024-06-30 23:59:59.999999,2024,180.33333333333334,8.433333333333334,157.83333333333334,8.766666666666667,204.03333333333333,8.166666666666666,121.79512980478971,148.06284423881914,6808.0,1333.0,3954.0,1521.0,31186.0,30314.0,2.876558685755759,61295.0,24.6594,402306.0,354120.0,455320.0,415000.0,381618.0,319000.0
2024Q3,2024-09-30 23:59:59.999999,2024,185.5,9.866666666666667,162.73333333333335,10.700000000000001,209.46666666666667,9.333333333333334,122.27812437110083,151.70334101382488,8874.0,1318.0,4498.0,3058.0,31673.0,31339.0,1.0657647021283356,61295.0,24.6594,402306.0,354120.0,455320.0,415000.0,381618.0,319000.0
2024Q4,2024-12-31 23:59:59.999999,2024,189.96666666666667,9.4,166.16666666666666,9.433333333333332,215.03333333333333,9.333333333333334,121.9158784463675,155.81782216353028,8651.0,1435.0,4669.0,2547.0,30124.0,32463.0,-7.20512583556665,61295.0,24.6594,402306.0,354120.0,455320.0,415000.0,381618.0,319000.0
2025Q1,2025-03-31 23:59:59.999999,2025,191.83333333333334,7.966666666666666,166.76666666666668,6.8999999999999995,218.20000000000002,8.766666666666667,122.4793721070638,156.6250136926279,5907.0,1106.0,3034.0,1767.0,30240.0,31630.0,-4.394562124565282,63372.0,26.9105,424644.0,389332.0,447621.0,430000.0,414056.0,350000.0
2025Q2,2025-06-30 23:59:59.999999,2025,194.33333333333334,7.766666666666667,168.36666666666665,6.7,221.66666666666666,8.633333333333333,124.08935399476756,156.6075791977511,9152.0,1482.0,4643.0,3027.0,32584.0,31186.0,4.482780734945169,63372.0,26.9105,424644.0,389332.0,447621.0,430000.0,414056.0,350000.0
2025Q3,2025-09-30 23:59:59.999999,2025,199.36666666666667,7.5,171.83333333333334,5.566666666666666,228.36666666666667,9.0,124.85409539142687,159.67971738663226,9197.0,1496.0,4547.0,3154.0,32907.0,31673.0,3.8960628926846264,63372.0,26.9105,424644.0,389332.0,447621.0,430000.0,414056.0,350000.0
2025Q4,2025-12-31 23:59:59.999999,2025,203.23333333333335,6.966666666666666,175.16666666666666,5.433333333333334,232.76666666666665,8.233333333333333,125.49808814650835,161.94137802009837,11959.0,1790.0,6078.0,4091.0,36215.0,30124.0,20.2197583322268,63372.0,26.9105,424644.0,389332.0,447621.0,430000.0,414056.0,350000.0
2026Q1,2026-03-31 23:59:59.999999,2026,204.9333333333333,6.833333333333333,176.6,5.8999999999999995,234.76666666666665,7.566666666666666,126.14208090158986,162.4623058923633,7856.0,1411.0,4092.0,2353.0,38164.0,30240.0,26.203703703703706,,,,,,,,
2026Q2,2026-06-30 23:59:59.999999,2026,205.9333333333333,6.0,176.86666666666667,5.066666666666666,236.6,6.733333333333333,128.5168041859529,160.23844868984233,8823.0,1427.0,4738.0,2658.0,37835.0,32584.0,16.11527129879695,,,,,,,,
