date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2006-07-01,2006-07,Dublin - all residential properties,Dublin,All residential,153.4,3.2,8.6,22.5
2006-07-01,2006-07,Dublin - apartments,Dublin,Apartments,172.0,1.3,4.4,15.6
2006-07-01,2006-07,Dublin - houses,Dublin,Houses,148.6,3.8,9.9,24.1
2006-07-01,2006-07,National - all residential properties,National,All residential,153.7,2.3,6.3,16.8
2006-07-01,2006-07,National - apartments,National,Apartments,179.1,1.2,3.7,16.6
2006-07-01,2006-07,National - houses,National,Houses,149.7,2.4,6.6,16.8
2006-07-01,2006-07,National excluding Dublin - all residential properties,National excluding Dublin,All residential,169.7,1.7,4.9,13.7
2006-07-01,2006-07,National excluding Dublin - apartments,National excluding Dublin,Apartments,223.2,1.3,2.7,19.2
2006-07-01,2006-07,National excluding Dublin - houses,National excluding Dublin,Houses,166.8,1.7,5.0,13.4
2006-08-01,2006-08,Dublin - all residential properties,Dublin,All residential,157.9,2.9,8.9,23.6
2006-08-01,2006-08,Dublin - apartments,Dublin,Apartments,176.7,2.7,5.5,17.3
2006-08-01,2006-08,Dublin - houses,Dublin,Houses,152.9,2.9,9.9,25.4
2006-08-01,2006-08,National - all residential properties,National,All residential,157.1,2.2,6.4,17.4
2006-08-01,2006-08,National - apartments,National,Apartments,182.5,1.9,4.3,17.2
2006-08-01,2006-08,National - houses,National,Houses,153.0,2.2,6.7,17.5
2006-08-01,2006-08,National excluding Dublin - all residential properties,National excluding Dublin,All residential,172.8,1.8,5.0,13.9
2006-08-01,2006-08,National excluding Dublin - apartments,National excluding Dublin,Apartments,225.7,1.1,2.9,16.5
2006-08-01,2006-08,National excluding Dublin - houses,National excluding Dublin,Houses,169.9,1.8,5.1,13.9
2006-09-01,2006-09,Dublin - all residential properties,Dublin,All residential,158.2,0.2,6.4,21.7
2006-09-01,2006-09,Dublin - apartments,Dublin,Apartments,179.7,1.7,5.8,16.8
2006-09-01,2006-09,Dublin - houses,Dublin,Houses,152.6,-0.2,6.6,23.3
2006-09-01,2006-09,National - all residential properties,National,All residential,158.4,0.8,5.4,17.2
2006-09-01,2006-09,National - apartments,National,Apartments,185.5,1.6,4.9,17.2
2006-09-01,2006-09,National - houses,National,Houses,154.1,0.7,5.4,17.3
2006-09-01,2006-09,National excluding Dublin - all residential properties,National excluding Dublin,All residential,174.9,1.2,4.8,14.6
2006-09-01,2006-09,National excluding Dublin - apartments,National excluding Dublin,Apartments,229.7,1.8,4.3,16.5
2006-09-01,2006-09,National excluding Dublin - houses,National excluding Dublin,Houses,171.9,1.2,4.8,14.5
2006-10-01,2006-10,Dublin - all residential properties,Dublin,All residential,159.3,0.6,3.8,19.1
2006-10-01,2006-10,Dublin - apartments,Dublin,Apartments,179.6,-0.1,4.4,15.0
2006-10-01,2006-10,Dublin - houses,Dublin,Houses,154.2,1.0,3.8,20.7
2006-10-01,2006-10,National - all residential properties,National,All residential,159.4,0.6,3.7,15.4
2006-10-01,2006-10,National - apartments,National,Apartments,186.9,0.8,4.4,15.8
2006-10-01,2006-10,National - houses,National,Houses,155.1,0.7,3.6,15.7
2006-10-01,2006-10,National excluding Dublin - all residential properties,National excluding Dublin,All residential,176.0,0.6,3.7,13.3
2006-10-01,2006-10,National excluding Dublin - apartments,National excluding Dublin,Apartments,233.5,1.7,4.6,13.9
2006-10-01,2006-10,National excluding Dublin - houses,National excluding Dublin,Houses,172.8,0.5,3.6,13.3
